number,short_description,priority,state,assignment_group,assigned_to,sys_created_on,sys_updated_on,sys_id,age_days,total_hours,total_days,total_minutes,sla_breach
INC0045847,Can not open,4 - Low,In Progress,WIT-ServiceDesk-L1,Sujata Patra,07-11-2025 13:54,14-11-2025 08:05,03fde3753b893294399d5d0864e45ac8,2,56.54,2.36,3393,TRUE
INC0045705,Client advised a suspected cyber attack,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Ankush Mehta,07-11-2025 06:17,14-11-2025 08:05,0404ce713b05f654ae6be524c3e45a0c,2,56.54,2.36,3393,TRUE
INC0043144,Visio,4 - Low,In Progress,WIT-ServiceDesk-L1,Pavan Manchala,30-10-2025 11:29,14-11-2025 08:05,04304ad33b3c7ad0399d5d0864e45a4a,2,56.54,2.36,3393,TRUE
INC0044634,token bloat,4 - Low,In Progress,WIT-ServiceDesk-L1,Rithvik Konereddy,04-11-2025 13:35,14-11-2025 08:05,044c80813b093a14ae6be524c3e45aff,2,56.54,2.36,3393,TRUE
INC0041934, SolarWinds Alert|P4| NCSA | ATT1 | Atlanta | US | Hardware Health Alert: DELL Serial Attached SCSI Disk on  att1-vh78.global.amec.com,4 - Low,In Progress,WIT-Monitoring-L1,Vishalshelar Vishalshelar,27-10-2025 14:37,14-11-2025 08:05,045ecf923b703a90399d5d0864e45a99,2,56.54,2.36,3393,TRUE
INC0014692,I cannot open .sha files in EA Desktop.,3 - Moderate,New,WIT-WVS-VDI,,07-08-2025 12:34,14-11-2025 08:05,04696d983b5762d4399d5d0864e45a46,2,56.54,2.36,3393,TRUE
INC0043510,Aspen One Engineering Suite 15|Installation issue,4 - Low,In Progress,WIT-ServiceDesk-L1,Sriram Sridharan,31-10-2025 14:10,14-11-2025 08:05,04ab1fe73bf83ad0ae6be524c3e45a21,2,56.54,2.36,3393,TRUE
INC0043646,"P3|AMER|US,GA|Commvault|Databases EVVSATT1EV1VS1_1 and  EVVSGATT1EV1VaultStore1_1_1 failed due to checksum error in server ATT1-SQL9",4 - Low,On Hold,WIT-SQL-DBA,Amarnath Vudatha,01-11-2025 00:26,14-11-2025 08:05,050b39b33b74bad0ae6be524c3e45a06,2,56.54,2.36,3393,TRUE
INC0044639,Unable to use my  Authenticator App to access my work emails Outlook,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Hithendra Eedhala,04-11-2025 13:41,14-11-2025 08:05,05ed88893b093a14ae6be524c3e45aa3,2,56.54,2.36,3393,TRUE
INC0044206,Updates failed,4 - Low,In Progress,WIT-ServiceDesk-L1,Narayan Thapa,03-11-2025 15:39,14-11-2025 08:05,060f9fe43bcdb214ae6be524c3e45a9c,2,56.54,2.36,3393,TRUE
INC0045676,Mouse not working properly,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Rajkumar Nanjappan,07-11-2025 04:00,14-11-2025 08:05,0616ad313b4db654ae6be524c3e45ae8,2,56.54,2.36,3393,TRUE
INC0044980,No abren los planos CAD,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Sriram Sridharan,05-11-2025 13:20,14-11-2025 08:05,0690951d3bc93654399d5d0864e45a7c,2,56.54,2.36,3393,TRUE
INC0046103,i can't access my e-mail or teams on my phone and the authenticator app it's gave me note that there is no e-mail.,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Vignesh Dhanasekaran,09-11-2025 05:47,14-11-2025 08:05,069fcc263bc13694399d5d0864e45a4e,2,56.54,2.36,3393,TRUE
INC0043429,not able to access the azolve,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Sriram Sridharan,31-10-2025 08:39,14-11-2025 08:05,06b2e2a33bf87ed0399d5d0864e45af8,2,56.54,2.36,3393,TRUE
INC0044203,no se puede iniciar sección en equipo de credenciales,4 - Low,In Progress,WIT-ServiceDesk-L1,Bhavana Purushotham,03-11-2025 15:30,14-11-2025 08:05,079ddf203bcdb214ae6be524c3e45acd,2,56.54,2.36,3393,TRUE
INC0014890,Unable to connect,3 - Moderate,New,WIT-WVS-VDI,,08-08-2025 04:39,14-11-2025 08:05,0806c5a83bd36a94ae6be524c3e45a45,2,56.54,2.36,3393,TRUE
INC0044675,Enquiry|| user manager cannot be able to approve the request --RITM0080103 as manger: Chris.Barton@woodplc.com has not received for approval,4 - Low,In Progress,WIT-ServiceDesk-L1,Mahathikakshya Mahathikakshya,04-11-2025 15:09,14-11-2025 08:05,08126c493bc5fe14399d5d0864e45a21,2,56.54,2.36,3392,TRUE
INC0044561,Unable to open and save full invoice copies to folder,3 - Moderate,In Progress,WIT-AMS-APP-SUPPORT-MS,Raksha Chandrashekar,04-11-2025 10:12,14-11-2025 08:05,086e93383b4d7e14399d5d0864e45a6c,2,56.54,2.36,3392,TRUE
INC0039231,Hanging & does not evaluate the cost,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Swathi Rangandale,19-10-2025 08:50,14-11-2025 08:05,08f1b0b73b647210ae6be524c3e45a75,2,56.54,2.36,3392,TRUE
INC0013995,I need Access for EA and required for Habshan Project,3 - Moderate,New,WIT-WVS-VDI,,06-08-2025 05:49,14-11-2025 08:05,0a624bbb3b8baa94399d5d0864e45a66,2,56.54,2.36,3392,TRUE
INC0027975,P4| APAC|AU.WA.Perth.1.St Georges Terrace|Aspen Hysus|Aspen Hysus is not working,4 - Low,In Progress,WIT-ServiceDesk-L1,Vijay Ayyappan,17-09-2025 09:00,14-11-2025 08:05,0a6f77993bc8f290ae6be524c3e45ab6,2,56.54,2.36,3392,TRUE
INC0045817,OneDrive issue - New user account,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Sameer Bhuyan,07-11-2025 12:31,14-11-2025 08:05,0b1adf393b053294399d5d0864e45a89,2,56.54,2.36,3392,TRUE
INC0044787,"power BI Access only available on web, in the app not available project access",3 - Moderate,In Progress,WIT-ServiceDesk-L1,Kamalesh Gopalakrishnan,05-11-2025 04:00,14-11-2025 08:05,0b625f493b4dba14ae6be524c3e45a7e,2,56.54,2.36,3392,TRUE
INC0045830,Storage issue – C: drive full,4 - Low,In Progress,WIT-ServiceDesk-L1,Patnam Lakshmi,07-11-2025 13:16,14-11-2025 08:05,0b85a7bd3bc53294399d5d0864e45aac,2,56.54,2.36,3392,TRUE
INC0021515,when I try to digitally sign a document it fails,3 - Moderate,In Progress,WIT-AP-Support-Central,Graham Tucker,29-08-2025 10:39,14-11-2025 08:05,0bd1aadf3b272250399d5d0864e45a7b,2,56.54,2.36,3392,TRUE
INC0027516,Monitor is not working,3 - Moderate,In Progress,WIT-LS-NCSA-BR-BRAZIL,Richardson Wandermurem,16-09-2025 11:15,14-11-2025 08:05,0c041bc93bc0b614399d5d0864e45aa3,2,56.54,2.36,3392,TRUE
INC0045199,No possibility to open document,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Deeksha Yanamadala,06-11-2025 08:22,14-11-2025 08:05,0d08996d3bc17254ae6be524c3e45a8e,2,56.54,2.36,3392,TRUE
INC0019928,For MGSIII Project when we extract the Drawing Out of Memory Error is appearring in EA DeskTop,3 - Moderate,In Progress,WIT-AMS-APP-SUPPORT-ENGTECH,Komala G P,25-08-2025 11:13,14-11-2025 08:05,0d1206c23b2fe610399d5d0864e45acb,2,56.54,2.36,3392,TRUE
INC0043489,Project Wise | Login Issue ,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Hithendra Eedhala,31-10-2025 11:20,14-11-2025 08:05,0d474fa73b343ad0ae6be524c3e45a3e,2,56.54,2.36,3392,TRUE
INC0015523,Graphics clash report not appearing in MGCS-III project,4 - Low,New,WIT-WVS-VDI,,11-08-2025 05:31,14-11-2025 08:05,0d4d2c2d3b53eed4399d5d0864e45a69,2,56.54,2.36,3392,TRUE
INC0014700,ServiceNow form to request Engineer Anywhere access does not seem aligned with previous instance of ServiceNow.,3 - Moderate,New,WIT-WVS-VDI,,07-08-2025 12:59,14-11-2025 08:05,0d9ead983b53e694ae6be524c3e45ae2,2,56.54,2.36,3392,TRUE
INC0037033,External user MFA reset,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Sandhiya Selvaraj,13-10-2025 12:42,14-11-2025 08:05,0dac26b53b603a54ae6be524c3e45aa7,2,56.54,2.36,3392,TRUE
INC0022410,P3|EM|GB.ENG.Staines.1.London Road|Unable to access the site,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Hithendra Eedhala,02-09-2025 08:04,14-11-2025 08:05,0dc4eee83b7fae50399d5d0864e45a0e,2,56.54,2.36,3392,TRUE
INC0045593,"SolarWinds | P4 |APAC | CBI | Chonburi | TH | ""Port 1352"" of Application ""Port 1352 - on thsriln008 is Down",4 - Low,In Progress,WIT-Monitoring-L1,Vishalshelar Vishalshelar,06-11-2025 19:17,14-11-2025 08:05,0dede3613b893e54399d5d0864e45a2a,2,56.54,2.36,3392,TRUE
INC0046045,SolarWinds |P4| EMEA | UKLD5 | Slough | UK | Multiple nterface Utilization Alertat  | UKLD5 | Slough | UK,4 - Low,In Progress,WIT-Monitoring-L1,Komala Krishnappa,08-11-2025 20:55,14-11-2025 08:05,0e3756d63bc1be54ae6be524c3e45ae1,2,56.54,2.36,3392,TRUE
INC0024403,Don't have my buyer's rights,3 - Moderate,New,WIT-AP-OracleEBS-Voyager,,08-09-2025 11:33,14-11-2025 08:05,0e5ec66a3bf36650399d5d0864e45a41,2,56.54,2.36,3392,TRUE
INC0036544,P4|EM|Saudi Arabia|Monitor |The user is requesting a monitor replacement.,4 - Low,In Progress,WIT-ServiceDesk-L1,Hymavathi Gurram,12-10-2025 05:11,14-11-2025 08:05,0f2af7dd3b68b254ae6be524c3e45aef,2,56.54,2.36,3392,TRUE
INC0045233,Cannot access / recover word file over citrix,4 - Low,In Progress,WIT-ServiceDesk-L1,Sujata Patra,06-11-2025 09:50,14-11-2025 08:05,0f4be1e53b41b254ae6be524c3e45a19,2,56.54,2.36,3392,TRUE
INC0045727,Windows 11 USB exception Failed - Ref. RITM0078142,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Jahnavi Kadavakollu,07-11-2025 07:24,14-11-2025 08:05,0f7316fd3b45be54399d5d0864e45ae7,2,56.54,2.36,3392,TRUE
INC0045281,Always opens all files previously opened,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Sujata Patra,06-11-2025 12:49,14-11-2025 08:05,0fd416a13b45f254ae6be524c3e45a42,2,56.54,2.36,3392,TRUE
INC0043464,DocuSign Moving to Azure,4 - Low,In Progress,WIT-ServiceDesk-L1,Manasa Kadapala,31-10-2025 10:00,14-11-2025 08:05,0ff33aa73b70bed0399d5d0864e45ae4,2,56.54,2.36,3392,TRUE
INC0045674,"""Read-only"" access when opening*.pdf files.",3 - Moderate,In Progress,WIT-ServiceDesk-L1,Suraj Parit,07-11-2025 03:35,14-11-2025 08:05,109f9d313b0db654ae6be524c3e45a6c,2,56.54,2.36,3392,TRUE
INC0020228,"I am not receiving email from Gilmartin, Ken",4 - Low,In Progress,WIT-ServiceDesk-L1,Suraj Parit,26-08-2025 06:13,14-11-2025 08:05,11a886d23b2f2a10ae6be524c3e45af8,2,56.54,2.36,3392,TRUE
INC0045644,SolarWinds Alert | P4 | APAC | POM02 | Port Moresby | Papua New Guinea | Node Down Alert: a-pgpom-hid-s-acc-01 has changed state to Down at POM02,4 - Low,In Progress,WIT-Monitoring-L1,Vishalshelar Vishalshelar,06-11-2025 22:54,14-11-2025 08:05,1210e8bd3b417e54399d5d0864e45aa7,2,56.54,2.36,3392,TRUE
INC0045962,Solarwinds Alert| P4| Data Store Latency Alert: edc01-vh33_vmfslocal3_t3_Backup Latency Reached 217.93 ms,4 - Low,In Progress,WIT-Monitoring-L1,Pooja Bhorkade,08-11-2025 03:16,14-11-2025 08:05,12852ece3b8dfa54ae6be524c3e45a2b,2,56.53,2.36,3392,TRUE
INC0043322,SolarWinds alert|P4|EMEA | ABZ44 | Aberdeen | GB~Disk Utilization Alert: C:\ Label:  Serial Number D6415850 on EP-APP-WGKADI-1 has reached to 90 %.,4 - Low,In Progress,WIT-Monitoring-L1,Uttej Mukkamalla,31-10-2025 00:40,14-11-2025 08:05,12f4f8a73b703ed0399d5d0864e45a28,2,56.53,2.36,3392,TRUE
INC0045194,2020 version not install properly,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Suraj Parit,06-11-2025 08:08,14-11-2025 08:05,134515293b817254ae6be524c3e45a4d,2,56.53,2.36,3392,TRUE
INC0045198,MS Office 365 |Unable to open Outlook via application,4 - Low,In Progress,WIT-ServiceDesk-L1,Priya Salunke,06-11-2025 08:22,14-11-2025 08:05,135811613b057254ae6be524c3e45a10,2,56.53,2.36,3392,TRUE
INC0038633,System build is taking unusually long—currently over 4 hours!!,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Sandhiya Selvaraj,16-10-2025 14:37,14-11-2025 08:05,15be1eb63b647610ae6be524c3e45a91,2,56.53,2.36,3392,TRUE
INC0023046,"I cant edit files, i think is something about the license",4 - Low,In Progress,WIT-AP-Support-Central,Graham Tucker,03-09-2025 16:38,14-11-2025 08:05,168361413b372610399d5d0864e45a30,2,56.53,2.36,3392,TRUE
INC0037567,unable to download invoices from azolve,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Rithvik Konereddy,14-10-2025 12:19,14-11-2025 08:05,169f23423b6cfad4399d5d0864e45a18,2,56.53,2.36,3392,TRUE
INC0039888,Unable to install,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Rithvik Konereddy,21-10-2025 14:29,14-11-2025 08:05,16d05ca43b30ba10399d5d0864e45a25,2,56.53,2.36,3392,TRUE
INC0036726,Weight Volume Library appcrashes when a project filter is selected,4 - Low,In Progress,WIT-ServiceDesk-L1,Manvith Nargal,13-10-2025 06:19,14-11-2025 08:05,16f551b13ba0f2d4399d5d0864e45a4f,2,56.53,2.36,3392,TRUE
INC0034600,My SAP2000 Version 2026 does not work,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Vinay Samadi,06-10-2025 16:25,14-11-2025 08:05,176ddba73b58fad0ae6be524c3e45a12,2,56.53,2.36,3392,TRUE
INC0044529,Lost Server Access EVERYDAY,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Rajasekar Samraj,04-11-2025 09:15,14-11-2025 08:05,17719f703b457e14399d5d0864e45a71,2,56.53,2.36,3392,TRUE
INC0044590,Solarwinds Alert| P4| NCSA | MTY | San Pedro Garza Garcia | MX | Disk Utilization Alert: D:\ Label:  Serial Number 0ACE5878 on PWFWNAE has reached to 92 % ,4 - Low,In Progress,WIT-Monitoring-L1,Pooja Bhorkade,04-11-2025 11:24,14-11-2025 08:05,17cea7b83b05be14399d5d0864e45a38,2,56.53,2.36,3392,TRUE
INC0036132,"new version, cannot find toolsets",3 - Moderate,On Hold,WIT-AP-Support-Central,Graham Tucker,10-10-2025 12:57,14-11-2025 08:05,182497743b2cba94399d5d0864e45af2,2,56.53,2.36,3392,TRUE
INC0044071,"Not able to connect to VPN, open outlook etc",3 - Moderate,In Progress,WIT-ServiceDesk-L1,Jayanth Kowshik,03-11-2025 10:21,14-11-2025 08:05,18e69ee03b813a14399d5d0864e45acf,2,56.53,2.36,3392,TRUE
INC0045818,Please activate license for Foundation Design Suite 2024R3,4 - Low,In Progress,WIT-ServiceDesk-L1,Shiva Prakash,07-11-2025 12:34,14-11-2025 08:05,194b9bf53bc57a54ae6be524c3e45a73,2,56.53,2.36,3392,TRUE
INC0014292,Not Calculating Taxes,3 - Moderate,New,WIT-AP-OracleEBS-Voyager,,06-08-2025 14:51,14-11-2025 08:06,197df4c83b576e94399d5d0864e45a3f,2,56.53,2.36,3392,TRUE
INC0045158,SolarWinds Alert | P4 |Location: NCSA | SGO1 | Providencia |Disk Utilization Alert: F:\ Label:New Volume  Serial Number 326903F3 on sgo1-db1 has reached to 95 %,4 - Low,In Progress,WIT-Monitoring-L1,Paarkavi Anbukarasu,06-11-2025 04:45,14-11-2025 08:06,19a6ec653bc9f654399d5d0864e45ab7,2,56.53,2.36,3392,TRUE
INC0045242,My PC storage is low so using application is getting slow  kindly provide higher,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Swathi Rangandale,06-11-2025 10:25,14-11-2025 08:06,1b04b1e93b097a54399d5d0864e45a33,2,56.53,2.36,3392,TRUE
INC0046046,SolarWinds Alert | P4 | EMEA | BSG01 | Paseo Maritimo | GQ | Site Down Alert,4 - Low,In Progress,WIT-Monitoring-L1,Ajin Sivapuram,08-11-2025 20:56,14-11-2025 08:06,1b18525a3bc1be54ae6be524c3e45aef,2,56.53,2.36,3392,TRUE
INC0044633,SharePoint Access | Liberação de acesso ao SharePoint HSE - TST Rodrigo Silva,4 - Low,In Progress,WIT-ServiceDesk-L1,Mahathikakshya Mahathikakshya,04-11-2025 13:32,14-11-2025 08:06,1b4cc0853bcdbe14399d5d0864e45a46,2,56.53,2.36,3392,TRUE
INC0045866,Uploaded onto my Software Centre but will not install,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Pooja Singh,07-11-2025 14:50,14-11-2025 08:06,1c7933f93b4d3294399d5d0864e45aec,2,56.53,2.36,3392,TRUE
INC0039826,teams meeting not showing in Out look,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Swarnav Paul,21-10-2025 11:59,14-11-2025 08:06,1ca0ff943bf47a10399d5d0864e45a65,2,56.53,2.36,3392,TRUE
INC0040667,Network | Access Point Issue ,4 - Low,In Progress,WIT-ServiceDesk-L1,Vishal Christopher,23-10-2025 13:35,14-11-2025 08:06,1d0a9a053bb87650399d5d0864e45a98,2,56.53,2.36,3392,TRUE
INC0030042,License issue,4 - Low,In Progress,WIT-AP-Support-Central,Graham Tucker,23-09-2025 07:03,14-11-2025 08:06,1d5b9a133b003a10ae6be524c3e45a03,2,56.53,2.36,3392,TRUE
INC0023474,BLUEBEAM REVU - PLAN UNASSIGNED,4 - Low,In Progress,WIT-AP-Support-Central,Graham Tucker,04-09-2025 16:24,14-11-2025 08:06,1d8a2e113bb7e610ae6be524c3e45a77,2,56.53,2.36,3392,TRUE
INC0038855,laptop screen is broken and unreadable.,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Chinmaya Mishra,17-10-2025 08:06,14-11-2025 08:06,1dc49a4b3becbe18399d5d0864e45ab1,2,56.53,2.36,3392,TRUE
INC0025609,"Ticket closed, still no access",4 - Low,New,WIT-AP-BAUOracleSupport,,11-09-2025 01:14,14-11-2025 08:06,1dccd71f3b7baa10ae6be524c3e45aeb,2,56.53,2.36,3392,TRUE
INC0044795,"Already installed version 22.11.00.156. Due to project requirement, version 22.07.00.160 software to be used. But i couldn't install it from software centre.",4 - Low,In Progress,WIT-ServiceDesk-L1,Suchismita Nayak,05-11-2025 04:42,14-11-2025 08:06,1dfb530d3b897254399d5d0864e45a0c,2,56.53,2.36,3392,TRUE
INC0044437,Network| Need to increase bandwidth for port 17-19,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Priya Salunke,04-11-2025 06:07,14-11-2025 08:06,1e01aa383b813e14399d5d0864e45ad5,2,56.53,2.36,3392,TRUE
INC0045225,"I cannot see server ""O""",3 - Moderate,In Progress,WIT-ServiceDesk-L1,Tilak Varman,06-11-2025 09:31,14-11-2025 08:06,1e0865613b817a54399d5d0864e45a51,2,56.53,2.36,3392,TRUE
INC0044229,Cannot Access Solarwinds,4 - Low,In Progress,WIT-ServiceDesk-L1,Malathi Bhaskar,03-11-2025 17:04,14-11-2025 08:06,1e133f243b05ba14399d5d0864e45a76,2,56.53,2.36,3392,TRUE
INC0015775,Se me cierra el software sin poder por un FATAL ERROR,3 - Moderate,In Progress,WIT-AMS-APP-SUPPORT-ENGTECH,Lavanya TS,11-08-2025 16:38,14-11-2025 08:06,1e460b653b176210399d5d0864e45a65,2,56.53,2.36,3392,TRUE
INC0044603,No access to EY's GVRT VAT return software,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Rajasekar Samraj,04-11-2025 11:59,14-11-2025 08:06,1e763bf03bc5be14399d5d0864e45afb,2,56.53,2.36,3392,TRUE
INC0045712,Not able to access Intranet,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Babu Reddy,07-11-2025 06:41,14-11-2025 08:06,1ebe39fd3b01be54399d5d0864e45afa,2,56.53,2.36,3392,TRUE
INC0043992,Old Monitor in Sharjah office,4 - Low,In Progress,WIT-ServiceDesk-L1,Jahnavi Kadavakollu,03-11-2025 07:40,14-11-2025 08:06,1ed1b9ec3b41f614399d5d0864e45a7a,2,56.53,2.36,3392,TRUE
INC0044326,SharePoint| Access denied,4 - Low,In Progress,WIT-ServiceDesk-L1,Manasa Vechalapu,03-11-2025 23:25,14-11-2025 08:06,1ee881b03b853614ae6be524c3e45a5b,2,56.53,2.36,3392,TRUE
INC0045106,Unable to Connect to GlobalProtect Outside of the Office,4 - Low,In Progress,WIT-ServiceDesk-L1,Sumanth Sarika,05-11-2025 22:26,14-11-2025 08:06,1f1e43dd3b89b654399d5d0864e45a44,2,56.53,2.36,3392,TRUE
INC0046099,Please re-activate Domnic Coelho's account,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Hymavathi Gurram,09-11-2025 05:32,14-11-2025 08:06,1f2d8c2a3b813694399d5d0864e45a9d,2,56.53,2.36,3392,TRUE
INC0017873,P3 || AM CT || US || Message on lower right hand corner - Activate Windows - Go to settings to activate windows,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Chandan Prakash,18-08-2025 19:15,14-11-2025 08:06,1f8d2b7f3b97ea90ae6be524c3e45ac5,2,56.53,2.36,3392,TRUE
INC0039765,S3D Web Api Setup installation required,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Sameer Bhuyan,21-10-2025 09:35,14-11-2025 08:06,1fee0f103bb03a10ae6be524c3e45af5,2,56.53,2.36,3392,TRUE
INC0045229,Unable to sign in to Bluebeam UK,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Rithvik Konereddy,06-11-2025 09:43,14-11-2025 08:06,20d9e9e53b01b254ae6be524c3e45ae1,2,56.53,2.36,3392,TRUE
INC0024336,Storage space on my laptop is reduced and restricting some applications from running,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Vijayan Krishna,08-09-2025 09:35,14-11-2025 08:06,2123bde63bbfe250399d5d0864e45a10,2,56.52,2.36,3391,TRUE
INC0042265,Shared Mailbox is getting full,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Anusha Ashok,28-10-2025 08:02,14-11-2025 08:06,214bbea23bbcfa90399d5d0864e45a2c,2,56.52,2.36,3391,TRUE
INC0045897,My laptop needs driver software have access company printer,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Ravish Srinivas,07-11-2025 16:48,14-11-2025 08:06,21f4d8ca3bc5ba54ae6be524c3e45af8,2,56.52,2.36,3391,TRUE
INC0021556,Satellite not setting notifications  - Replacement ticket for INC3002447,4 - Low,In Progress,WIT-AP-Support-Central,Graham Tucker,29-08-2025 13:12,14-11-2025 08:06,220487133b236250399d5d0864e45a4e,2,56.52,2.36,3391,TRUE
INC0019831,P3| HOU12| US.TX.Houston.4.DataBankDataCenter| Physical disk Failure at 11b. 04. 7 and 11b. 06. 7 for HOUFILER1A.,4 - Low,New,WIT-TSS,,25-08-2025 07:06,14-11-2025 08:06,225681463b6b6610399d5d0864e45af6,2,56.52,2.36,3391,TRUE
INC0045249,SolarWinds Alert | P4 | NCSA | HOU12 | Houston | US | Memory Utilization Alert: houpesxisql53a.mustangeng.com Memory Usage Reached 92 %,4 - Low,In Progress,WIT-Monitoring-L1,Udayvarma Alluri,06-11-2025 10:56,14-11-2025 08:06,230bf1a13b89b254ae6be524c3e45aa3,2,56.52,2.36,3391,TRUE
INC0036788,AutoCAD 2023 Version not performed well,3 - Moderate,In Progress,WIT-DSS-EMEA-QA-QATAR,Tharindu Giragama,13-10-2025 07:37,14-11-2025 08:06,235669f93b68f2d4399d5d0864e45adc,2,56.52,2.36,3391,TRUE
INC0045306,Adobe | Unable to combine files ,4 - Low,In Progress,WIT-ServiceDesk-L1,Hithendra Eedhala,06-11-2025 13:43,14-11-2025 08:06,23f1266d3bcdba54399d5d0864e45ac8,2,56.52,2.36,3391,TRUE
INC0045179,Outlook Issues,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Priya Salunke,06-11-2025 06:24,14-11-2025 08:06,243a3c293b093254ae6be524c3e45ad6,2,56.52,2.36,3391,TRUE
